id;question;answer;source_doc;source_loc;tags;difficulty
11;Tebliðlerin uluslararasý etkinlik kapsamýnda deðerlendirilebilmesi için gereken katýlýmcý þartlarý nelerdir?;"Etkinliðin uluslararasý nitelik kazanmasý için Türkiye dýþýnda en az beþ farklý ülkeden sözlü teblið sunan konuþmacýnýn katýlýmý þarttýr; sunulan toplam tebliðlerin yarýdan fazlasýnýn Türkiye dýþýndan katýlan araþtýrmacýlar tarafýndan sunulmuþ olmasý zorunludur; sadece beþ yabancý katýlýmcýnýn olmasý yeterli deðildir, katýlýmcýlarýn farklý ülkelerden gelmesi kriteri aranýr; tebliðlerin tam metin olarak etkinlik kitapçýðýnda (basýlý veya elektronik) yayýmlanmýþ olmasý gerekmektedir; ayrýca etkinliðin uluslararasý olup olmadýðýna dair üniversite yönetim kurulu kararýnýn bulunmasý þarttýr; özet metinler veya tam metni yayýmlanmayan sunumlar puanlamaya dahil edilmez.";Yönetmelik / Rehber;Madde 7(9) / Teblið Koþullarý;teblið|uluslararasý|katýlýmcý|tam metin;hard
12;Hangi tür ödüller akademik teþvik puanlamasý kapsamýnda deðerlendirme dýþý býrakýlmaktadýr?;"Öðretim elemanýnýn kadrosunun bulunduðu üniversite tarafýndan verilen ödüller puanlamaya dahil edilmez; bilimsel toplantýlarda sunulan tebliðler için verilen ödüller teþvik kapsamý dýþýndadýr; dergi hakemlikleri dolayýsýyla yayýnevleri veya editörlükler tarafýndan verilen ödüller kabul edilmez; yayýn teþvik ödülleri, teþekkür belgeleri, plaketler, burslar ve onur belgeleri deðerlendirmeye alýnmaz; yarýþmalarda verilen mansiyon ödülleri puanlama dýþý tutulmuþtur; sürekli olarak verilmeyen veya daha önce en az beþ kez düzenlenmemiþ ödüller kapsam dýþýdýr; ödülün mutlaka araþtýrmacýnýn kendi uzmanlýk alaný ile ilgili olmasý þarttýr.";Yönetmelik / Rehber;Madde 7(10) / Ödül Koþullarý;ödül|kapsam dýþý|mansiyon|hakemlik;hard
13;Patent faaliyetlerinin teþvik puaný hesaplamasýnda kullanýlan tescil yýlý ve tür sýnýrlamalarý nelerdir?;"Patentlerin deðerlendirilmesinde tescil edildiði tarih esas alýnýr ve sadece 2025 yýlýnda tescil edilenler kabul edilir; ulusal düzeyde yapýlan baþvurularda sadece incelemeli patentler deðerlendirmeye alýnýr; ulusal incelemesiz patentler teþvik kapsamý dýþýnda býrakýlmýþtýr; Patent Ýþbirliði Antlaþmasý veya Avrupa Patent Sözleþmesi kapsamýnda tescillenenler uluslararasý patent olarak puanlanýr; birden fazla ülkede tescillenmiþ ayný içerikli patentler için mükerrer baþvuru yapýlamaz, sadece bir kez puanlanýr; tescil belgesinin bir nüshasýnýn FUATS sistemine kanýt olarak yüklenmesi zorunludur; uluslararasý patentler için katsayý 100, ulusal patentler için ise 60 üzerinden hesaplanýr.";Yönetmelik / Rehber;Madde 7(7) / Patent Koþullarý;patent|tescil|incelemeli|uluslararasý;hard
14;Atýf faaliyetlerinin puanlanmasýnda kullanýlan temel kurallar ve kýsýtlamalar nelerdir?;"Sadece teþvik baþvurusu yapýlan 2025 yýlý içerisinde yayýmlanmýþ çalýþmalardaki atýflar dikkate alýnýr; araþtýrmacýnýn kendi yayýnlarýna yaptýðý atýflar (self-citation) kesinlikle puanlanmaz; bir eserin ayný yayýnýn farklý bölümlerinde birden fazla kez zikredilmesi tek bir atýf sayýlýr; atýf yapan ve atýf yapýlan her iki çalýþmanýn da yönetmelikçe geçerli yayýn kategorilerinde olmasý þarttýr; sadece devlet yükseköðretim kurumlarýnda görev yaparken üretilen eserlere yapýlan atýflar geçerlidir; atýf puanlamasýnda kiþi sayýsý dikkate alýnmaz ve her bir araþtýrmacý için ayrý puanlama yapýlýr; farklý bölüm yazarlarý olan kitaplarda her bölümdeki atýf ayrý puanlanýr.";Yönetmelik / Rehber;Madde 7(8) / Atýf Koþullarý;atýf|puanlama|kýsýtlama|devlet kurumu;med
15;Sergi faaliyetlerinin uluslararasý olarak kabul edilmesi için gereken onay süreci nasýldýr?;"Bir serginin uluslararasý nitelikte sayýlabilmesi için öncelikle ilgili bölüm, anabilim dalý veya anasanat dalý kurullarýnca onaylanmasý gerekir; sanatsal veya bilimsel niteliðe sahip iþitsel ve görsel etkinlikler sergi kapsamýnda deðerlendirilir; etkinliklerin sanata katký saðlayýcý özellikte olmasý ve eðitim-öðretim faaliyetleri dýþýndaki özgün çalýþmalarý kapsamasý þarttýr; uluslararasý sergiler için kurul kararýnýn FUATS sistemine kanýt olarak yüklenmesi zorunludur; ayný yýl içerisinde tekrar eden etkinliklerin en fazla iki tanesi puanlanýr ve ikinci tekrar %50 puanla deðerlendirilir; öðrenci kulübü faaliyetleri kapsamýnda düzenlenen sergiler teþvik dýþý tutulmuþtur; deðerlendirmede serginin açýlýþ tarihi esas alýnýr.";Yönetmelik / Rehber;Madde 7(6) / Sergi Koþullarý;sergi|uluslararasý|onay|kurul kararý;med
16;Akademik teþvik ödeneði ödeme süreci ne zaman baþlar ve ne kadar süreyle devam eder?;"Akademik teþvik ödemeleri her takvim yýlý için bir önceki yýlýn faaliyetleri esas alýnarak hesaplanýr; ödemeler ilgili yýlýn Þubat ayýnýn on beþinden itibaren baþlatýlýr; hak kazanan öðretim elemanlarýna on iki ay boyunca her ayýn on beþinde ödeme yapýlmaya devam edilir; ödenek damga vergisi hariç herhangi bir vergiye tabi tutulmaz ve diðer tazminatlarýn hesabýnda dikkate alýnmaz; ödemelerin yapýlabilmesi için araþtýrmacýnýn teþvik puanýnýn en az otuz olmasý þarttýr; ödeme süreci devam ederken kurum deðiþtiren öðretim elemanlarýnýn ödemeleri yeni kurumlarý tarafýndan gerçekleþtirilir; yanlýþ beyanda bulunduðu tespit edilenlerin ödemeleri kanuni faiziyle geri alýnýr.";Yönetmelik;Madde 10;ödeme|süre|vergi|kurum deðiþikliði;easy
17;Tasarým faaliyetinin teþvik kapsamýnda deðerlendirilebilmesi için gereken uygulama þartlarý nelerdir?;"Tasarýmýn bilim, teknoloji ve sanata katký saðlayýcý nitelikte ve araþtýrmacýnýn kendi alaný ile ilgili olmasý zorunludur; tasarýmlarýn kamu kurumlarý veya özel hukuk tüzel kiþileriyle yapýlan sözleþme uyarýnca uygulanmýþ veya ticarileþtirilmiþ olmasý þarttýr; deðerlendirmede tasarýmýn sonuçlandýðý tarih esas alýnýr ve 2025 yýlý içerisinde gerçekleþmiþ olmasý gerekir; tasarýmýn özgün bir çizim, endüstriyel, çevresel veya grafiksel bir model olmasý beklenir; baþvuru sýrasýnda tasarým dosyasý ile uygulandýðýný gösterir sözleþme veya tescil belgesi FUATS'a yüklenmelidir; ticarileþmeyen veya sadece taslak aþamasýnda kalan projeler puanlamaya dahil edilmez.";Yönetmelik / Rehber;Madde 7(5) / Tasarým Belgeleri;tasarým|ticarileþme|sözleþme|uygulama;med
18;Akademik teþvik puaný hesaplama formülü ve kadro unvanlarýna göre uygulanan oranlar nelerdir?;"Ödeme tutarý; en yüksek devlet memuru brüt aylýðý ile kadro unvaný oranýnýn ve teþvik puanýnýn yüze bölünmesiyle elde edilen oranýn çarpýlmasýyla bulunur; profesör kadrosundakiler için %100, doçentler için %90, doktor öðretim üyeleri için %80 oran uygulanýr; araþtýrma görevlileri ve öðretim görevlileri için bu oran %70 olarak belirlenmiþtir; puan hesaplanýrken her faaliyet türünün puaný faaliyet katsayýlarý ile çarpýlarak bulunur; toplam akademik teþvik puaný yüz puaný geçemez ve her bir faaliyet türünün aðýrlýðý toplam puanýn %30'unu aþamaz; hesaplamalarda öðretim elemanýnýn baþvuru tarihindeki kadro unvaný esas alýnýr; en az otuz puan barajýný aþamayanlara ödeme yapýlmaz.";Yönetmelik / Rehber;Madde 8 / Hesaplama Yöntemi;maaþ katsayýsý|unvan oraný|formül|baraj puan;hard
19;Yayýn faaliyetlerinde 'Alan Ýndeksleri' kapsamýndaki makalelerin deðerlendirilme kurallarý nelerdir?;"Alan indeksleri; Üniversitelerarasý Kurul (ÜAK) tarafýndan tanýmlanan ve YÖK tarafýndan onaylanan doçentlik baþvurusu endekslerini ifade eder; bu kapsamda puanlama yapýlabilmesi için derginin ilgili alan indeksine girdiðini gösteren ÜAK belgesi FUATS sistemine yüklenmelidir; eðitim bilimleri, mimarlýk, sosyal ve beþeri bilimler ile spor bilimleri gibi belirli temel alanlar dýþýndaki alanlar için bu puanlama uygulanmayabilir; alan indeksli dergilerdeki araþtýrma makaleleri için katsayýlar alan grubuna göre 20 ile 25 arasýnda deðiþmektedir; derleme veya kýsa makaleler için bu oranlar daha düþüktür; ÜAK kriterlerinde alan indeksi yer almayan branþlarda bu kapsamda mükerrer veya hatalý puanlama yapýlmamalýdýr.";Yönetmelik / Rehber;Madde 3(b) / Yayýn Belgeleri;alan indeksi|ÜAK|makale|puanlama;hard
20;Müzik ve sahne sanatlarý alanýndaki ses ve görüntü kayýtlarýnýn puanlanma þartlarý nelerdir?;"Performansa dayalý kiþisel veya karma ses ve/veya görüntü kayýtlarýnýn mutlaka yayýmlanmýþ olmasý þarttýr; kayýtlarýn 2025 yýlý içerisinde yayýmlandýðýný ve ulusal ya da uluslararasý niteliðini gösteren belgeler sunulmalýdýr; müzik bölümleri için CD, DVD veya benzeri ortamdaki kayýtlara yönelik bandrol belgesi zorunludur; bestecilik, yorumculuk veya sahne tasarýmý gibi etkinlikler için etkinliðin boyutunu kanýtlayan yazýlý dökümanlar sisteme yüklenmelidir; uluslararasý boyutta performansa dayalý karma kayýtlarda kiþi sayýsýna bakýlmaksýzýn tam puan verilir; deðerlendirme aþamasýnda etkinliðin sanatsal aðýrlýðý ve yayýmlanma mecrasý titizlikle incelenir.";Yönetmelik / Rehber;Madde 7(4) / Yayýn Belgeleri;ses kaydý|görüntü kaydý|müzik|sahne sanatlarý;med
21;TÜBÝTAK 1002 Hýzlý Destek Programý kapsamýnda yürütülen ve baþarýyla tamamlanan projelerin akademik teþvik puanlamasýndaki yeri nedir?;"TÜBÝTAK 1002 projeleri akademik teþvik ödeneði kapsamýnda deðerlendirme dýþý býrakýlan projeler arasýnda yer almaktadýr; bu projeler araþtýrmacýlarýn araþtýrma kültürünün desteklenmesine yönelik olsa da yönetmelik ve baþvuru rehberi uyarýnca puanlamaya dahil edilmezler; benzer þekilde TÜBÝTAK’ýn sanayi, kamu, giriþimcilik ve bilim-toplum destek projeleri de kapsam dýþýdýr; baþvuru sahiplerinin sadece kapsam dahilindeki TÜBÝTAK 1001, 1003 veya 1005 gibi akademik destek programlarýný beyan etmeleri gerekmektedir.";[Baþvuru Rehberi];Madde 12 / Sayfa 6;proje|tübitak|1002|kapsam dýþý;easy
22;Akademik teþvik baþvurusunda bulunacak bir öðretim elemanýnýn kadro unvaný deðiþikliði puan hesaplamasýný nasýl etkilemektedir?;"Puanlarýn ve ödemelerin hesaplanmasýnda öðretim elemanýnýn teþvik baþvurusunu yaptýðý tarihteki güncel kadro unvaný esas alýnmaktadýr; unvan deðiþikliði yaþayan personelin eski unvanýndaki faaliyetleri de yeni unvaný üzerinden deðerlendirilir; hesaplama tablosundaki profesör, doçent veya doktor öðretim üyesi oranlarý baþvuru anýndaki statüye göre uygulanýr; araþtýrmacýlarýn baþvuru formunda ve FUATS sisteminde en son kadro unvanlarýný beyan etmeleri zorunludur; bu kural ödeme tutarýnýn belirlenmesinde kullanýlan temel parametrelerden biridir.";[Baþvuru Rehberi] | [Yönetmelik];Madde 8(8) / Madde 9;kadro unvaný|hesaplama|unvan deðiþikliði|baþvuru;med
23;Uluslararasý bir yayýnevinin akademik teþvik kapsamýnda 'tanýnmýþ uluslararasý yayýnevi' sayýlabilmesi için gereken asgari kriterler nelerdir?;"Bir yayýnevinin tanýnmýþ uluslararasý yayýnevi sayýlabilmesi için en az beþ yýldýr uluslararasý düzeyde düzenli faaliyet yürütmesi þarttýr; ayrýca yayýnevinin Türkçe dýþýndaki dillerde ayný alanda farklý yazarlara ait en az yirmi kitap yayýmlamýþ olmasý zorunludur; bu kriterleri saðlayan yayýnevlerinden çýkan özgün bilimsel kitaplar tam puan üzerinden deðerlendirmeye alýnýr; baþvuru sýrasýnda yayýnevinin bu þartlarý taþýdýðýný gösteren belgeler veya internet sayfasý adresleri FUATS sistemine yüklenmelidir; Danýþtay kararlarý sonrasý 'Türkçe dýþýndaki dillerde' ibaresi bu taným için belirleyici hale gelmiþtir.";[Yönetmelik];Madde 3(l);yayýnevi|uluslararasý|kitap|kriter;hard
24;Döner sermaye üzerinden yürütülen projelerin akademik teþvik kapsamýnda deðerlendirilebilmesi için hangi özel þartlarý taþýmasý gerekir?;"Döner sermaye projelerinin deðerlendirilebilmesi için öncelikle projenin Ar-Ge niteliði taþýmasý ve toplam süresinin dokuz aydan fazla olmasý zorunludur; projenin maddi desteðinin mutlaka üniversiteye aktarýlmýþ olmasý þarttýr; süresi dokuz aydan az olan veya Ar-Ge niteliði bulunmayan döner sermaye projeleri puanlamaya dahil edilmez; ayrýca döner sermaye üzerinden yapýlan bilirkiþilikler ve danýþmanlýk faaliyetleri de teþvik kapsamý dýþýnda tutulmuþtur; baþvuru sýrasýnda projenin süresini ve niteliðini kanýtlayan resmi sözleþmeler sunulmalýdýr.";[Baþvuru Rehberi] | [Yönetmelik];Madde 7(2) / Bölüm 11;döner sermaye|proje|Ar-Ge|süre;med
25;Dört kiþilik bir yazar grubu tarafýndan yayýmlanan ortak bir makale için 'k' katsayýsý nasýl uygulanmaktadýr?;"Çok isimli yayýnlarda kiþi sayýsýna göre deðiþen (k) katsayýsý uygulanýr; dört kiþilik bir yazar listesinde her bir yazar için katsayý 0,45 olarak belirlenmiþtir; bu katsayý makalenin toplam puaný ile çarpýlarak her bir araþtýrmacýnýn hak ettiði net puaný belirlemek için kullanýlýr; beþ kiþilik çalýþmalarda katsayý 1/5 oranýna düþerken; altý kiþilik çalýþmalarda 1/6 olarak hesaplanýr; yedi ve üzeri katýlýmcý olduðunda ise katsayý doðrudan 1 bölü kiþi sayýsý þeklinde formüle edilir; tek yazarlý eserlerde ise bu katsayý tam deðer olan 1'dir.";[Yönetmelik];Madde 8(4) / Tablo 1;katsayý|yazar sayýsý|puanlama|makale;easy
26;Eðitim-öðretim faaliyetleri kapsamýnda düzenlenen sergilerin akademik teþvik puanlamasýndaki geçerliliði nedir?;"Eðitim-öðretim faaliyetleri ile öðrenci kulüp faaliyetleri kapsamýnda düzenlenen tüm sergiler akademik teþvik puanlamasýnda kapsam dýþý býrakýlmýþtýr; bu tür etkinlikler araþtýrmacýnýn özgün akademik faaliyeti olarak deðerlendirilmez; teþvik alabilmek için serginin sanata katký saðlayýcý nitelikte ve akademik faaliyet alanýnda gerçekleþtirilmiþ olmasý gerekir; sergilerin deðerlendirilmesinde serginin açýldýðý tarih esas alýnýr ve 2025 yýlý içerisinde gerçekleþmiþ olmasý þarttýr; ayrýca kiþisel veya grup etkinliklerinin bölümlerce onaylanmýþ olmasý puanlama için temel gereklilikler arasýndadýr.";[Baþvuru Rehberi] | [Yönetmelik];Madde 7(6) / Bölüm 32;sergi|eðitim-öðretim|kapsam dýþý|öðrenci kulübü;med
27;Akademik teþvik ödeneðinden yararlanma þartý olarak belirlenen asgari puan sýnýrý ve ödeme süresi nedir?;"Akademik teþvik ödeneðinin ödenebilmesi için öðretim elemanýnýn topladýðý toplam akademik teþvik puanýnýn en az otuz olmasý þarttýr; otuz puanýn altýnda kalan baþvurular için herhangi bir ödeme yapýlmaz; puaný otuz ve üzerinde olanlara ise her yýlýn 15 Þubat tarihinden itibaren on iki ay boyunca ödeme yapýlýr; ödemeler her ayýn on beþinde gerçekleþtirilir ve damga vergisi hariç herhangi bir vergiye tabi tutulmaz; ödeme tutarý kadro unvanýna göre belirlenen oranlar ve en yüksek devlet memuru brüt aylýðý üzerinden hesaplanýr.";[Yönetmelik];Madde 10(2) ve 10(3);baraj puan|ödeme süresi|vergi|asgari puan;easy
28;Araþtýrma faaliyetlerinin teþvik kapsamýnda deðerlendirilebilmesi için Üniversite Yönetim Kurulu'ndan alýnmasý gereken izinle ilgili kural nedir?;"Araþtýrma faaliyetinin puanlanabilmesi için kurum dýþýnda görevlendirme yapýlmýþ olmasý ve bu görevlendirmenin mutlaka üniversite yönetim kurulu tarafýndan resmi bir karara baðlanmýþ olmasý þarttýr; yönetim kurulu izni bulunmayan veya sadece bölüm izni ile yapýlan araþtýrmalar deðerlendirmeye alýnmaz; araþtýrma için yurt içi veya yurt dýþý kurumlarca önceden onay verilmiþ olmasý da gerekmektedir; görevlendirme yazýsýnýn bir nüshasý FUATS sistemine kanýt olarak yüklenmelidir; araþtýrma faaliyetleri ay üzerinden deðerlendirilir ve asgari dört ay sürme þartý aranýr; yönetim kurulu kararý araþtýrmanýn resmiyetini kanýtlar.";[Yönetmelik] | [Baþvuru Rehberi];Madde 7(3) / Madde 15;yönetim kurulu|izin|araþtýrma|görevlendirme;med
29;Baþka bir üniversiteden naklen gelen öðretim elemanlarý akademik teþvik baþvurusu sýrasýnda hangi ek belgeyi sunmalýdýr?;"Kurum deðiþikliði yapan öðretim elemanlarýnýn önceki kurumunda ve mevcut üniversitesinde gerçekleþtirdiði faaliyetleri ayrýntýlý olarak belirten 'Kurum Deðiþikliði Beyan Formu'nu sunmalarý zorunludur; ayrýca YÖKSÝS çýktýsýnda her bir faaliyetin hangi kurum bünyesinde gerçekleþtirildiði açýkça gösterilmelidir; vakýf üniversitelerinden devlet üniversitelerine geçenler sadece devlet üniversitesinde görev yaptýklarý süreye ait faaliyetleri için baþvurabilirler; deðerlendirme süreci araþtýrmacýnýn þu an kadrosunun bulunduðu üniversite komisyonu tarafýndan yürütülür; tüm belgelerin imzalý ve eksiksiz olmasý þarttýr.";[Baþvuru Rehberi];Madde 8 / Sayfa 8;kurum deðiþikliði|beyan formu|naklen atama|yöksis;med
